Country_ID,Country_E,Indicator_Id,Indicator_E,Period,Value
643,Russian Federation,T,Total,2020,17.9
620,Portugal,T,Total,2009,25.99
620,Portugal,T,Total,2010,38.05
620,Portugal,T,Total,2011,14.4
620,Portugal,T,Total,2012,32.88
620,Portugal,T,Total,2013,37.48
620,Portugal,T,Total,2014,34.47
620,Portugal,T,Total,2015,32.22
620,Portugal,T,Total,2016,29.78
620,Portugal,T,Total,2017,22.79
620,Portugal,T,Total,2018,23.84
620,Portugal,T,Total,2019,22.25
620,Portugal,T,Total,2020,24.57
620,Portugal,T,Total,2021,23.15
688,Serbia,T,Total,2013,66.14
688,Serbia,T,Total,2014,54.01
688,Serbia,T,Total,2015,56.64
688,Serbia,T,Total,2016,65.4
688,Serbia,T,Total,2017,64.32
688,Serbia,T,Total,2018,58.87
688,Serbia,T,Total,2019,75.3
688,Serbia,T,Total,2020,66.61
642,Romania,T,Total,2011,10.96
642,Romania,T,Total,2012,9.32
642,Romania,T,Total,2013,9.4
642,Romania,T,Total,2014,11.2
348,Hungary,T,Total,2009,30.31
